serialanon,gorehs,hhcomp1,hhsizex,ndepchild,agehrp4x,agehrp6x,emphrpx,ethhrp2x,sexhrp,nbedsx,accomhh1,lenresb,ftbuyer,tenure4,mortwkx,rentwkx,amthbenx,housbenx,HYEARGRx,hhvulx
18190021596,6,1,3,0,3,5,1,1,2,3,2,7,1,1,105.00,-9.00,-9.00,-9,67555.18,2
18190021599,9,1,4,2,2,3,1,1,1,2,3,5,1,1,145.62,-9.00,-9.00,-9,58927.50,2
18190021601,5,4,4,0,1,1,5,1,1,4,3,1,3,3,-9.00,236.64,0.00,2,38680.00,2
18190021602,8,7,1,0,3,4,6,1,2,1,4,1,3,3,-9.00,253.85,253.85,1,6875.00,1
18190021603,7,6,1,0,4,6,3,1,1,1,4,2,3,2,-9.00,118.66,0.00,2,14557.00,1
18190021604,9,3,4,3,2,3,2,1,2,3,2,1,3,2,-9.00,106.15,90.00,1,11666.00,1
18190021605,8,5,2,0,4,6,3,1,2,4,2,7,1,1,0.00,-9.00,-9.00,-9,61460.00,2
18190021606,8,7,1,0,4,6,3,1,2,3,3,8,3,2,-9.00,120.00,20.00,1,8476.00,1
18190021607,9,6,1,0,3,5,3,1,1,2,4,6,3,3,-9.00,150.00,0.00,2,8175.00,2
18190021609,2,1,2,0,4,6,3,1,1,3,1,8,2,1,0.00,-9.00,-9.00,-9,36405.00,2
18190021611,7,1,2,0,3,5,2,1,2,2,2,6,2,1,151.05,-9.00,-9.00,-9,12938.00,1
18190021612,9,6,1,0,3,5,4,1,1,1,4,7,3,2,-9.00,78.00,78.00,1,3801.00,1
18190021615,7,1,2,0,3,4,2,1,2,3,2,6,2,1,0.00,-9.00,-9.00,-9,75738.94,2
18190021616,5,1,2,0,4,6,3,1,1,2,1,8,1,1,0.00,-9.00,-9.00,-9,31064.00,1
18190021622,5,6,1,0,3,4,6,1,1,1,3,3,3,2,-9.00,79.00,79.00,1,11606.00,1
18190021623,1,7,1,0,4,6,3,1,2,3,2,7,2,1,0.00,-9.00,-9.00,-9,15777.50,2
18190021624,8,6,1,0,3,5,4,1,1,1,4,7,3,2,-9.00,110.00,0.00,2,19240.00,2
18190021625,7,1,6,3,2,3,1,1,2,4,3,4,3,3,-9.00,461.54,0.00,2,83200.00,2
18190021626,4,1,6,4,2,3,1,1,1,3,2,5,3,2,-9.00,97.00,0.00,2,39066.66,2
18190021628,6,1,3,1,1,2,6,1,1,2,3,1,3,3,-9.00,110.00,101.68,1,12100.40,1
18190021629,9,4,4,0,3,4,1,2,1,4,1,5,2,1,346.15,-9.00,-9.00,-9,100000.00,2
18190021631,1,7,1,0,3,5,3,1,2,2,2,7,3,2,-9.00,78.00,69.00,1,8886.00,1
18190021634,4,1,4,2,2,2,6,1,2,3,3,5,3,3,-9.00,110.00,75.00,1,18183.88,1
